Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2025,12/31/2025,COULTER FLORISTS AND GREE,Shopping,Sale,-71.32,
12/30/2025,12/31/2025,AMAZON MKTPL*SL0V374G3,Shopping,Sale,-25.22,
12/30/2025,12/31/2025,BP#1202000PLANTATION MAR,Gas,Sale,-37.00,
12/30/2025,12/31/2025,UBER   *EATS,Food & Drink,Sale,-21.88,
12/30/2025,12/30/2025,UBER   *EATS,Food & Drink,Sale,-1.78,
12/29/2025,12/30/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
12/30/2025,12/30/2025,UBER   *EATS,Food & Drink,Sale,-39.78,
12/27/2025,12/29/2025,COOK OUT MARYVILLE 1,Food & Drink,Sale,-17.41,
12/29/2025,12/29/2025,APPLE.COM/BILL,Shopping,Sale,-1.08,
12/28/2025,12/29/2025,THRIVE MARKET,Bills & Utilities,Sale,-59.58,
12/28/2025,12/29/2025,AMAZON MKTPL*9S88G6K23,Shopping,Sale,-57.08,
12/26/2025,12/28/2025,WWP*ARROW EXTERMINATORS I,Home,Sale,-317.00,
12/28/2025,12/28/2025,VZWRLSS*APOCC VISE,Bills & Utilities,Sale,-369.77,
12/27/2025,12/28/2025,NAME-CHEAP.COM* QUBTYZ,Professional Services,Sale,-11.88,
12/25/2025,12/26/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-0.55,
12/23/2025,12/25/2025,FIVE GUYS TN 0279 ECOMM,Food & Drink,Sale,-24.75,
12/24/2025,12/25/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-219.50,
12/23/2025,12/25/2025,HOBBY LOBBY #282,Shopping,Sale,-29.05,
12/24/2025,12/25/2025,FOOD LION #1362,Groceries,Sale,-106.68,
12/23/2025,12/25/2025,NEKTER JUICE BAR 8129,Food & Drink,Sale,-14.19,
12/23/2025,12/24/2025,GROW,Personal,Sale,-192.00,
12/21/2025,12/24/2025,ISTORAGE 8333,Home,Sale,-308.00,
12/23/2025,12/24/2025,Audible*438L29IR3,Bills & Utilities,Sale,-16.37,
12/23/2025,12/24/2025,WEIGELS #50 Q88,Gas,Sale,-36.77,
12/22/2025,12/23/2025,CHICK-FIL-A APP,Food & Drink,Sale,-25.00,
12/22/2025,12/23/2025,SSP*Pickleville LLC,Entertainment,Sale,-42.80,
12/22/2025,12/23/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
12/20/2025,12/22/2025,HARDEES 1501839,Food & Drink,Sale,-26.41,
12/20/2025,12/22/2025,TNSOS BUSINESS PMT,Bills & Utilities,Sale,-307.05,
12/20/2025,12/21/2025,UBER   *EATS,Food & Drink,Sale,-54.39,
12/19/2025,12/21/2025,WALMART.COM,Shopping,Sale,-128.00,
12/19/2025,12/21/2025,HIBACHI FACTORY DTW,Food & Drink,Sale,-51.51,
12/19/2025,12/21/2025,USPS PO 4700840702,Shopping,Sale,-9.94,
12/20/2025,12/21/2025,PETSMART # 1726,Shopping,Sale,-122.81,
12/20/2025,12/21/2025,FOOD LION #1362,Groceries,Sale,-111.35,
12/20/2025,12/21/2025,ATMOS ENERGY,Bills & Utilities,Sale,-96.24,
12/20/2025,12/21/2025,SQ *DARLIN DOGGIE DO'S,Professional Services,Sale,-276.00,
12/21/2025,12/21/2025,Payfly*gsuits.shop,Shopping,Sale,-79.00,
12/19/2025,12/21/2025,AMAZON MKTPL*OW3QR52Z3,Shopping,Sale,-43.22,
12/19/2025,12/19/2025,Amazon.com*2D6A17OV3,Shopping,Sale,-2.56,
12/18/2025,12/19/2025,APPLE.COM/BILL,Shopping,Sale,-2.18,
12/18/2025,12/19/2025,FOOTHILLS NUTRITION,Groceries,Sale,-10.54,
12/17/2025,12/19/2025,JIMMY JOHNS - 4748 - ECOM,Food & Drink,Sale,-74.03,
12/18/2025,12/19/2025,PANDA EXPRESS 2908,Food & Drink,Sale,-31.83,
12/18/2025,12/19/2025,SP TOWNSENDMERCANTILEC,Shopping,Sale,-30.63,
12/17/2025,12/18/2025,PetSmart,Shopping,Sale,-81.32,
12/17/2025,12/18/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.95,
12/16/2025,12/17/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
12/15/2025,12/17/2025,BLAZE PIZZA #1296,Food & Drink,Sale,-41.45,
12/17/2025,12/17/2025,UBER   *EATS,Food & Drink,Sale,-24.72,
12/15/2025,12/16/2025,FOOTHILLS NUTRITION,Groceries,Sale,-9.78,
12/16/2025,12/16/2025,SXM*SIRIUSXM.COM/ACCT,Bills & Utilities,Sale,-27.42,
12/15/2025,12/16/2025,DOLLAR GENERAL #17460,Shopping,Sale,-49.00,
12/14/2025,12/15/2025,SQ *GENTRY MERCANTILE,Shopping,Sale,-113.54,
12/14/2025,12/15/2025,IL MAKIAGE MAKEUP&amp;SKIN,Shopping,Sale,-38.42,
12/14/2025,12/15/2025,TEXAS ROADHOUSE #2033,Food & Drink,Sale,-98.05,
12/14/2025,12/15/2025,BATH AND BODY WORKS 3772,Shopping,Sale,-54.67,
12/13/2025,12/15/2025,HERITAGE NUTRITION,Shopping,Sale,-10.10,
12/13/2025,12/15/2025,TST*CHAPULINE STREETACOS,Food & Drink,Sale,-48.64,
12/14/2025,12/15/2025,BATH AND BODY WORKS 3772,Shopping,Sale,-18.60,
12/15/2025,12/15/2025,NAME-CHEAP.COM* USY8BB,Professional Services,Sale,-10.18,
12/14/2025,12/15/2025,RAILWAY,Shopping,Sale,-5.00,
12/13/2025,12/15/2025,ALLEGIANT AIKHR,Travel,Sale,-1146.66,
12/15/2025,12/15/2025,NAME-CHEAP.COM* DFUFUT,Professional Services,Sale,-6.69,
12/14/2025,12/15/2025,RAILWAY,Shopping,Sale,-9.99,
12/15/2025,12/15/2025,NAME-CHEAP.COM* 8OUJRB,Professional Services,Sale,-11.68,
12/13/2025,12/15/2025,PURE NAIL BAR,Personal,Sale,-136.00,
12/11/2025,12/14/2025,FOOD CITY #644,Groceries,Sale,-202.38,
12/13/2025,12/14/2025,KROGER #862,Groceries,Sale,-106.13,
12/13/2025,12/14/2025,LEARNDOBECOME.COM,Professional Services,Sale,-25.00,
12/13/2025,12/14/2025,WALGREENS #15906,Health & Wellness,Sale,-27.43,
12/13/2025,12/14/2025,SP TOWNSENDMERCANTILEC,Shopping,Sale,-101.71,
12/13/2025,12/14/2025,FOOTHILLS NUTRITION,Groceries,Sale,-10.88,
12/11/2025,12/14/2025,LOOPE POOL AND SPA  LLC,Home,Sale,-140.00,
12/13/2025,12/14/2025,ATT*BILL PAYMENT,Bills & Utilities,Sale,-127.68,
12/12/2025,12/14/2025,FOOD CITY #644,Groceries,Sale,-22.37,
12/11/2025,12/12/2025,SQ *BLOSSOM BOWLS MARYVIL,Food & Drink,Sale,-31.52,
12/10/2025,12/12/2025,FOOD CITY #644,Groceries,Sale,-22.62,
12/09/2025,12/11/2025,FOOD CITY #644,Groceries,Sale,-31.82,
12/10/2025,12/11/2025,FOOTHILLS NUTRITION,Groceries,Sale,-18.93,
12/10/2025,12/11/2025,OSAKA JAPANESE GRILL,Food & Drink,Sale,-66.11,
12/09/2025,12/10/2025,BP#1202000PLANTATION MAR,Gas,Sale,-17.49,
12/08/2025,12/09/2025,Payment Thank You-Mobile,,Payment,10000.00,
12/09/2025,12/09/2025,UBER   *EATS,Food & Drink,Sale,-33.85,
12/08/2025,12/09/2025,AMAZON MKTPL*2X00X4TR3,Shopping,Sale,-26.68,
