"Date","Account","Description","Check #","Category","Credit","Debit"
"01/02/2026","CHECKING","0102Knoxville TVA Employees  KNOXVILLE    TN","","Uncategorized Expense","","-478.00"
"12/31/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25123111 J 1991793759PPD","","Insurance","","-366.64"
"12/31/2025","CHECKING","University HealtPR PAYMENT2512312000-000017938PPD","","Education","9344.89",""
"12/26/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25122525122668770PPD","","Healthcare - HSA Spending Account/Insurance","3076.50",""
"12/24/2025","CHECKING","CHECK","2484","Uncategorized Expense","","-72.00"
"12/22/2025","CHECKING","VENMO PAYMENT 2512221047074858377WEB","","Uncategorized Expense","","-400.00"
"12/22/2025","CHECKING","Beaver County BeaverCoun251222WEB","","Uncategorized Expense","","-16.98"
"12/22/2025","CHECKING","VENMO PAYMENT 2512221047043244840WEB","","Uncategorized Expense","","-190.00"
"12/19/2025","CHECKING","CITY OF ALCOA BANK DRAFT251219142032002PPD","","Utilities","","-109.00"
"12/17/2025","CHECKING","VENMO PAYMENT 2512171046964392629WEB","","Uncategorized Expense","","-100.00"
"12/17/2025","CHECKING","PLANET FITNESS MIClub Fees251217PR2535003339604PPD","","Personal Care","","-10.00"
"12/17/2025","CHECKING","PLANET FITNESS MIClub Fees251217PR2535002582143PPD","","Healthcare - HSA Spending Account","","-23.06"
"12/15/2025","CHECKING","ALLY ALLY PAYMT251213670921023259WEB","","Transportation/Lease/Loan","","-849.84"
"12/12/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25121225121268770PPD","","Healthcare - HSA Spending Account/Insurance","3076.49",""
"12/11/2025","CHECKING","INSPIRE MERCHIZEIAT PAYPAL2512111046834799092IAT","","Uncategorized Expense","","-119.98"
"12/10/2025","CHECKING","1210Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-547.00"
"12/10/2025","CHECKING","CHASE CREDIT CRDEPAY 2512108946768043WEB","","Transfer Between Accounts/Credit Card Payment","","-10000.00"
"12/10/2025","CHECKING","University HealtPR PAYMENT2512102000-000017938PPD","","Education","573.50",""
"12/08/2025","CHECKING","VENMO PAYMENT 2512081046703467973WEB","","Uncategorized Expense","","-190.00"
"12/05/2025","CHECKING","ELECTRICFUND BANK DRAFT251205UM393818PPD","","Utilities/Gas/Electric","","-124.73"
"12/04/2025","CHECKING","1204JP Morgan Chase Bank, N. Phoenix AZ","","Uncategorized Expense","","-2350.04"
"12/03/2025","CHECKING","STATE FARM RO 27CPC-CLIENT25120311 J 1991793759PPD","","Insurance","","-384.04"
"12/03/2025","CHECKING","MTN LAUREL ASSC INS PREM 25120311011278 DANNYPPD","","Insurance","","-133.20"
"12/02/2025","CHECKING","CHECK","2483","Uncategorized Expense","","-100.00"
"12/01/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","106.33",""
"12/01/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","110.04",""
"12/01/2025","CHECKING","MOBILE DEPOSIT","","Utilities/Phone","540.91",""
"12/01/2025","CHECKING","1201Knoxville TVA Employees KNOXVILLE TN","","Uncategorized Expense","","-478.00"
"11/28/2025","CHECKING","University HealtPR PAYMENT2511272000-000017938PPD","","Education","9344.88",""
"11/26/2025","CHECKING","BLUECROSS BLUESHPAYROLL 25112625112668770PPD","","Healthcare - HSA Spending Account/Insurance","3076.51",""
"11/25/2025","CHECKING","CHECK","2482","Uncategorized Expense","","-72.00"
"11/24/2025","CHECKING","WITHDRAWAL FROM ATM 0621 11/24 112 S HALL ROAD0621 112 S HALL","","Financial Services/ATM","","-300.00"
